gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse
GSE102803,ARID2 promotes clear cell renal cell carcinoma in the absence of functional PBRM1 [ARID2 ChIP-seq],"Subunits of SWI/SNF chromatin remodeling complexes are frequently mutated in human malignancies. The PBAF complex is composed of multiple subunits, including the putative tumor suppressor proteins PBRM1 (BAF180) and ARID2 (BAF200) that are unique to this SWI/SNF complex. PBRM1 is mutated in various cancers, with a high mutation frequency in clear cell renal cell carcinoma (ccRCC). Here, we integrate RNA-seq, ARID2 and histone mark ChIP-seq, and ATAC-seq data to show that PBAF acts to enhance or repress gene expression depending on the genomic context. At baseline, ARID2 binds to areas of open chromatin at both active enhancers and promoters. Depletion of PBRM1 leads to attenuated and redistributed ARID2 chromatin binding that correlates significantly with gene expression changes. At enhancers, ARID2 binding loss leads to diminishment of the histone mark H3K4me1 and gene downregulation. Alternatively, at a subset of promoters, ARID2 binding loss derepresses gene expression. Interestingly, ARID2, which remains bound to other PBAF subunits after loss of PBRM1, is essential for many of the pro-tumorigenic transcriptional changes observed after loss of PBRM1, whereas other core SWI/SNF components are dispensable. Upon loss of PBRM1, ARID2 positively regulates cancer-related genes and pathways, including the cancer stem cell marker ALDH1A1 and ­­­EG­F signaling, to stimulate tumor cell growth. Therefore, ARID2 is crucial for maintaining the transformed state of PBRM1-deficient ccRCC cells. In total, this study suggests a novel mechanism of transcriptional control by PBRM1, whereby its loss alters the chromatin distribution of the residual PBAF complex leading to altered transcription that promotes tumorigenesis.",6,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,MPS
GSE102804,ARID2 promotes clear cell renal cell carcinoma in the absence of functional PBRM1 [Histone modification native ChIP-seq],"Subunits of SWI/SNF chromatin remodeling complexes are frequently mutated in human malignancies. The PBAF complex is composed of multiple subunits, including the putative tumor suppressor proteins PBRM1 (BAF180) and ARID2 (BAF200) that are unique to this SWI/SNF complex. PBRM1 is mutated in various cancers, with a high mutation frequency in clear cell renal cell carcinoma (ccRCC). Here, we integrate RNA-seq, ARID2 and histone mark ChIP-seq, and ATAC-seq data to show that PBAF acts to enhance or repress gene expression depending on the genomic context. At baseline, ARID2 binds to areas of open chromatin at both active enhancers and promoters. Depletion of PBRM1 leads to attenuated and redistributed ARID2 chromatin binding that correlates significantly with gene expression changes. At enhancers, ARID2 binding loss leads to diminishment of the histone mark H3K4me1 and gene downregulation. Alternatively, at a subset of promoters, ARID2 binding loss derepresses gene expression. Interestingly, ARID2, which remains bound to other PBAF subunits after loss of PBRM1, is essential for many of the pro-tumorigenic transcriptional changes observed after loss of PBRM1, whereas other core SWI/SNF components are dispensable. Upon loss of PBRM1, ARID2 positively regulates cancer-related genes and pathways, including the cancer stem cell marker ALDH1A1 and ­­­EG­F signaling, to stimulate tumor cell growth. Therefore, ARID2 is crucial for maintaining the transformed state of PBRM1-deficient ccRCC cells. In total, this study suggests a novel mechanism of transcriptional control by PBRM1, whereby its loss alters the chromatin distribution of the residual PBAF complex leading to altered transcription that promotes tumorigenesis.",15,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,MPS
GSE102805,ARID2 promotes clear cell renal cell carcinoma in the absence of functional PBRM1 [ATAC-seq],"Subunits of SWI/SNF chromatin remodeling complexes are frequently mutated in human malignancies. The PBAF complex is composed of multiple subunits, including the putative tumor suppressor proteins PBRM1 (BAF180) and ARID2 (BAF200) that are unique to this SWI/SNF complex. PBRM1 is mutated in various cancers, with a high mutation frequency in clear cell renal cell carcinoma (ccRCC). Here, we integrate RNA-seq, ARID2 and histone mark ChIP-seq, and ATAC-seq data to show that PBAF acts to enhance or repress gene expression depending on the genomic context. At baseline, ARID2 binds to areas of open chromatin at both active enhancers and promoters. Depletion of PBRM1 leads to attenuated and redistributed ARID2 chromatin binding that correlates significantly with gene expression changes. At enhancers, ARID2 binding loss leads to diminishment of the histone mark H3K4me1 and gene downregulation. Alternatively, at a subset of promoters, ARID2 binding loss derepresses gene expression. Interestingly, ARID2, which remains bound to other PBAF subunits after loss of PBRM1, is essential for many of the pro-tumorigenic transcriptional changes observed after loss of PBRM1, whereas other core SWI/SNF components are dispensable. Upon loss of PBRM1, ARID2 positively regulates cancer-related genes and pathways, including the cancer stem cell marker ALDH1A1 and ­­­EG­F signaling, to stimulate tumor cell growth. Therefore, ARID2 is crucial for maintaining the transformed state of PBRM1-deficient ccRCC cells. In total, this study suggests a novel mechanism of transcriptional control by PBRM1, whereby its loss alters the chromatin distribution of the residual PBAF complex leading to altered transcription that promotes tumorigenesis.",3,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,MPS
GSE102806,ARID2 promotes clear cell renal cell carcinoma in the absence of functional PBRM1 [RNA-seq],"Subunits of SWI/SNF chromatin remodeling complexes are frequently mutated in human malignancies. The PBAF complex is composed of multiple subunits, including the putative tumor suppressor proteins PBRM1 (BAF180) and ARID2 (BAF200) that are unique to this SWI/SNF complex. PBRM1 is mutated in various cancers, with a high mutation frequency in clear cell renal cell carcinoma (ccRCC). Here, we integrate RNA-seq, ARID2 and histone mark ChIP-seq, and ATAC-seq data to show that PBAF acts to enhance or repress gene expression depending on the genomic context. At baseline, ARID2 binds to areas of open chromatin at both active enhancers and promoters. Depletion of PBRM1 leads to attenuated and redistributed ARID2 chromatin binding that correlates significantly with gene expression changes. At enhancers, ARID2 binding loss leads to diminishment of the histone mark H3K4me1 and gene downregulation. Alternatively, at a subset of promoters, ARID2 binding loss derepresses gene expression. Interestingly, ARID2, which remains bound to other PBAF subunits after loss of PBRM1, is essential for many of the pro-tumorigenic transcriptional changes observed after loss of PBRM1, whereas other core SWI/SNF components are dispensable. Upon loss of PBRM1, ARID2 positively regulates cancer-related genes and pathways, including the cancer stem cell marker ALDH1A1 and ­­­EG­F signaling, to stimulate tumor cell growth. Therefore, ARID2 is crucial for maintaining the transformed state of PBRM1-deficient ccRCC cells. In total, this study suggests a novel mechanism of transcriptional control by PBRM1, whereby its loss alters the chromatin distribution of the residual PBAF complex leading to altered transcription that promotes tumorigenesis.",10,Expression profiling by high throughput sequencing,Homo sapiens,,MPS
GSE102807,ARID2 promotes clear cell renal cell carcinoma in the absence of functional PBRM1,This SuperSeries is composed of the SubSeries listed below.,58,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,Mus musculus; Homo sapiens,,MPS
GSE103176,Gene and miRNA expression profiles in Polycythemia Vera and Essential Thrombocythemia according to CALR and JAK2 mutations,This SuperSeries is composed of the SubSeries listed below. ,130,Expression profiling by array; Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE103218,MiR-1287-5p has inhibitory effects on breast cancer growth mediated by interaction with phosphoinositide 3-kinase CB,"Background: Non-coding RNAs and especially microRNAs have been discovered as master regulators of cancer initiation and progression. The aim of our study was to discover and characterize the function of yet uncharacterized microRNAs in human breast carcinogenesis. Methods: In an unbiased approach, we made use of a commonly used model system for breast cancer (BC) stem cells (“mammospheres”) to identify whole miRNome alterations with a special focus on previously uncharacterized miRNAs in BC. We further characterized the influence of microRNA-1287-5p, a yet uncharacterized microRNA in BC, in patient samples (n=1262) and on several hallmarks of cancer in vitro and in vivo with a special focus on triple negative BC. The molecular mode of action was further characterized using whole transcriptome analysis, in silico prediction tools, miRNA-interaction luciferase assays and pheno-copy assays. Results: We identified miR-1287-5p among many others as differentially expressed in mammospheres. Clinical validation indicated that miR-1287-5p is significantly downregulated in human BC and associated with poor prognosis. This clinical finding can be explained by miR-1287-5p mediated growth inhibitory effects, G1 cell cycle arrest, decreased anchorage-independent growth and tumor growth in vivo. Finally, we identified PIK3CB as a direct molecular interactor of miR-1287-5p and a pheno-copy factor for miR-1287-5p. Finally, targeting PI3K-signaling pathway with chemical inhibitors together with miR-1287-5p mimics increased the pharmacological growth inhibitory potential. Conclusion: In conclusion, our data identified for the first time an involvement of miR-1287-5p in human BC and suggest a potential for therapeutic interventions in hardly to treat triple negative BC.",6,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE103238,Gene and miRNA expression profiles in Polycythemia Vera and Essential Thrombocythemia according to CALR and JAK2 mutations [miEP],"Polycythemia vera (PV) and essential thrombocythemia (ET) are Philadelphia-negative myeloproliferative neoplasms (MPNs) characterized by erythrocytosis and thrombocytosis, respectively. Approximately 95% of PV and 50–70% of ET patients harbour the V617F mutation in the exon 14 of JAK2 gene, while about 20-30% of ET patients carry CALRins5 or CALRdel52 mutations. These ET CARL-mutated subjects show higher platelet count and lower thrombotic risk compared to JAK2-mutated patients. Here we showed that CALR-mutated and JAK2V617F-positive CD34+ cells have different gene and miRNA expression profiles. Indeed, we highlighted several pathways differentially activated between JAK2V617F- and CALR-mutated progenitors, i.e. mTOR, MAPK/PI3K and MYC pathways. Furthermore, we unveiled that the expression of several genes involved in DNA repair, chromatin remodelling, splicing and chromatid cohesion are decreased in CALR-mutated cells. According to the low risk of thrombosis in CALR-mutated patients, we also found the down-regulation of several genes involved in thrombin signalling and platelet activation.   As a whole, these data support the model in which CALR-mutated ET could be considered as a distinct disease entity from JAK2V617F-positive MPNs and may provide the molecular basis supporting the different clinical features of these patients.",65,Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
GSE103383,RNA Seq analysis of pancreatic beta cell transcriptome during dedifferentiation,"We report RNA Seq analysis using Illumina nextSeq500 of human beta cells EndoC-BH1 treated with FGF2 to induce dedifferentiation. FGF2 treatment induced dedifferentiation of EndoC-BH1 cells. Indeed, we observed a strong decrease in expression of β-cell markers, (INS, MAFB, SLC2A2, SLC30A8 and GCK).  Opposingly, we identifed positive markers of human β cell dedifferentiation, as attested by increased expression of mature β-cell disallowed transcription factors (MYC, HES1, SOX9 and NEUROG3). Interestingly, our temporal analysis revealed that loss of expression of β cell specific markers preceded the induction of β cell disallowed genes.",27,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE103491,Human dermal fibroblast reprogramming: compact and differentiated colonies during maturation phase,"Transcriptional profiling of reprogrammed cells at day 20 post-transduction comparing compact and differentiated colonies with established induced Pluripotent Stem Cells (iPSC) generated from human dermal fibroblasts (HDF). This study focused in the identification of upregulated transcription factors related to early developmental processes, particularly during primitive streak formation.",4,Expression profiling by array,Homo sapiens,,PSACH_MED
GSE103905,Transcriptome analysis of adult Klinefelter testis tissue samples compared to controls,"In humans, the most common sex chromosomal disorder is Klinefelter syndrome (KS), caused by the presence of one or more extra X-chromosomes. The KS patients display a diverse adult phenotype with increased height, gynaecomastia, and hypergonadotropic hypogonadism as the most common symptoms. Men with KS are almost always infertile due to testicular degeneration, which accelerates during puberty. Very few studies investigated the global gene expression analysis of adult KS testes and, more importantly, which cell types the differentially expressed transcripts originate from. Transcriptome analysis by RNA sequencing of fixed and paraffin embedded testes originating from 3 adult KS samples and 3 adult cellularity-matched controls revealed 236 differentially expressed transcripts in the adult KS testis. To examine the cellular origin of the differentially expressed transcripts, transcriptome profiling was also carried out on 4 testes with Sertoli Cell-Only and 4 testes with full spermatogenesis. Also, pre-pubertal KS and controls were RNA-sequenced.",22,Expression profiling by high throughput sequencing,Homo sapiens,,SHOX
GSE104103,SOX9 has distinct regulatory roles in alternative splicing and transcription,"SOX9 is known as a crucial transcription factor for various developmental processes and for tissue homeostasis. We examined here its potential role in alternative splicing by analyzing global splicing changes, using RNA-seq of colon tumor cells. We show that SOX9 knockdown alters the splicing of hundreds of genes without affecting their expression levels, revealing that SOX9 controls distinct splicing and transcriptional programs. SOX9 does not affect splicing patterns through the control of splicing factors expression. We identify mutants that uncouple SOX9 splicing function from its transcriptional activity. We demonstrate that SOX9 binds to RNA and associates with several RNA-binding proteins, including the core Exon Junction Complex component Y14. Half of SOX9 splicing targets are also modulated by Y14 and are no longer regulated by SOX9 upon Y14 depletion. Altogether, our work reveals that SOX9 is a moonlighting protein which modulates either transcription or splicing of distinct sets of targets. ",13,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE104106,Expression analysis of microRNA  by expression microarrays  of rectal cancer derived from the Cancer Institute Hospital of Japanese Foundation for Cancer Research.,We performed the expression microarray experiments for miRNA of rectal cancer tissue.,137,Non-coding RNA profiling by array,Homo sapiens; synthetic construct,,MPS
GSE104190,Expression data from PolyIC treated EndoC-ßH1 cells,"Type 1 diabetes (T1D) is a chronic disease characterized by an autoimmune-mediated destruction of insulin-producing pancreatic β cells. Environmental factors such as viruses play an important role in the onset of T1D and interact with predisposing genes. Recent data suggest that viral infection of human islets leads to a decrease in insulin production rather than β cell death, suggesting loss of β cell identity. We undertook this study to examine whether viral infection could induce human ß cell dedifferentiation. Using the functional human β cell line EndoC-βH1, we demonstrate that polyinosinic-polycitidilic acid (PolyI:C), a synthetic double-stranded RNA that mimics a by-product of viral replication induces a decrease in β cell-specific gene expression. In parallel to this loss, the expression of progenitor-like genes such as SOX9 was activated following PolyI:C treatment or enteroviral infection. SOX9 was induced by the NF-kB pathway and also in a paracrine non-cell autonomous fashion through the secretion of IFNA. Finally, we identified new SOX9 targets in human β cells as new markers of dedifferentiation in T1D. These findings reveal that inflammatory signaling has clear implications in human β cell dedifferentiation.",6,Expression profiling by array,Homo sapiens,,CCD_CMPD
GSE104195,Expression data from SOX9 overexpressing EndoC-ßH1 cells,"Human ß cell dedifferentiation as a potent mechanism of diabetes is gaining prominence. Several data suggest an upregulation of the transcription factor SOX9, a progenitor and duct cell marker during ß cell dedifferentiation. However, its targets in such cells need more understanding. Here, we overexpressed SOX9 and a constitutively active mutant (VP16-SOX9∆TAD) in Human pancreatic beta EndoC-ßH1 cells in order to understand its targets.",8,Expression profiling by array,Homo sapiens,,CCD_CMPD
GSE104527,Transcriptomic profiles in dental pulp cells from one CCD patient with allelic RUNX2 deletion and one sex-age matched unaffected individual.,"The goal is to investigate the downstream targets of RUNX2 signaling which are potentially involved in the disease process of Cleidocranial Dysplasia (CCD). RNA-seq was performned to compare the mRNA profiles in human dental pulp cells from one CCD patient with allelic RUNX2 deletion (CCD-011) and sex-age matched unaffected individual(Control).   Of 25,643 genes analyzed, 11,039 genes had no detectable signal in both CCD and control samples tested leaving 14,604 genes that were evaluated for differential gene expression.  In the detectable genes, 60 transcripts (4.1%) were found to be statistically significantly dysregulated with 63% upregulated and 27% downregulated (fold change ≥ 2; q-value < 0.05).  ",2,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE104554,Expression data from glioblastoma tissue,"Glioblastomas are among the most lethal cancers; however, recent advances in survival have increased the need for better prognostic markers. microRNAs (miRNAs) hold great prognostic potential being deregulated in glioblastomas and highly stable in stored tissue specimens. Moreover, miRNAs control multiple genes representing an additional level of gene regulation possibly more prognostically powerful than a single gene. The aim of the study was to identify a novel miRNA signature with the ability to separate patients into prognostic subgroups. Samples from 40 glioblastoma patients were included retrospectively; patients were comparable on all clinical aspects except overall survival enabling patients to be categorized as short-term or long-term survivors based on median survival. A miRNome screening was employed, and a prognostic profile was developed using leave-one-out cross-validation. We found that expression patterns of miRNAs; particularly the four miRNAs: hsa-miR-107_st, hsa-miR-548x_st, hsa-miR-3125_st and hsa-miR-331-3p_st could determine short- and long-term survival with a predicted accuracy of 78%. Heatmap dendrograms dichotomized glioblastomas into prognostic subgroups with a significant association to survival in univariate (HR 8.50; 95% CI 3.06-23.62; p<0.001) and multivariate analysis (HR 9.84; 95% CI 2.93-33.06; p<0.001). Similar tendency was seen in The Cancer Genome Atlas (TCGA) using a 2-miRNA signature of miR-107 and miR-331 (miR sum score), which were the only miRNAs available in TCGA. In TCGA, patients with O6-methylguanine-DNA-methyltransferase (MGMT) unmethylated tumors and low miR sum score had the shortest survival. Adjusting for age and MGMT status, low miR sum score was associated with a poorer prognosis (HR 0.66; 95% CI 0.45-0.97; p=0.033). A Kyoto Encyclopedia of Genes and Genomes analysis predicted the identified miRNAs to regulate genes involved in cell cycle regulation and survival.  In conclusion, the biology of miRNAs is complex, but the identified 4-miRNA expression pattern could comprise promising biomarkers in glioblastoma stratifying patients into short- and long-term survivors.",38,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE104922,Molecular subtype classification of urothelial carcinoma in Lynch syndrome,"We aimed to provide a molecular description of Lynch syndrome-associated urothelial cancer in relation to molecular subtypes of sporadic bladder cancer. Whole genome mRNA expression profiles of 41 tumors and immunohistochemical stainings against FGFR3, KRT5, CCNB1, RB1, and CDKN2A (p16) of 37 tumors from Lynch syndrome patients were generated. Pathological data, microsatellite instability, anatomic location, and overall survival data was analyzed and compared with data from sporadic bladder cancer.",41,Expression profiling by array,Homo sapiens,,FGFR3
GSE105074,Elevation in cell cycle and protein metabolism gene transcription in inactive colonic tissue from Icelandic patients with ulcerative colitis,"BACKGROUND & AIMS: Ulcerative colitis (UC) is a chronic relapsing inflammatory disorder that affects the colonic epithelium. A combination of genetic and environmental factors is thought to be involved in the pathogenesis, resulting in an abnormal immune response and destruction of the colonic epithelium. In Iceland, the incidence of UC is one of the highest in the world and is three times more common than Crohn’s disease.  Previous studies have suggested a genetic component may have an influence on the increased incidence. The aim of this study was to characterise a cohort of patients with UC and identify potential germ line mutations and pathways which could be associated with UC in this population. METHODS: We performed exome sequencing of genomic DNA and genome-wide microarray analysis on macroscopically non-inflamed colonic mucosa from Icelandic patients with UC and age and sexed matched controls. Gene-ontology analysis was used to identify common processes and pathways differentially expressed in tissue from UC cases. Exome sequence data were examined for very rare or novel mutations which might be over represented in the UC cohort. Combined matching of variant analysis and downstream influence on transcriptomic expression in the rectum was also analysed. RESULTS: Non-inflamed colonic tissue from patients with UC demonstrated a significant alteration in the transcriptomic profile compared to controls. Over 2,000 genes were differentially expressed in rectal tissue from UC patients and gene ontology analysis identified an up-regulation in genes associated with cell cycle control and protein processing in the endoplasmic reticulum. Exome sequencing identified two missense mutations in thiopurine S-methyltransferase (TPMT) with a minor allele frequency of 0.22 in the UC patients compared to a reported 0.062 in the Icelandic population and 0.03 in the non-Finnish European populations. A predicted damaging mutation in the inflammatory bowel disease associated gene SLC26A3 was identified which was associated with increased expression of DUOX2 and DUOXA2 in UC rectal tissue. CONCLUSIONS: In patients with UC, the colonic mucosa demonstrates a clear alteration in gene expression compared to control subjects. There is evidence of an elevation in genes involved with cell proliferation and the processing of proteins within the endoplasmic reticulum. Exome sequencing identified an increased prevalence of two damaging TPMT variants within the Icelandic UC population, which would suggest screening the UC population prior to initiation of therapy is warranted in order to avoid the serious toxicity associated with these mutations and azathioprine treatment.",57,Expression profiling by array,Homo sapiens,,MPS
GSE105124,AltitudeOmics,This SuperSeries is composed of the SubSeries listed below.,318,Expression profiling by array; Methylation profiling by array; Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE105416,Gene and microRNA expression data from neuroendocrine transdifferentiated and untreated prostate cancer cell line LNCaP,"Prostate tumors contain foci of neuroendocrine transdifferentiation (NETD), resulting in an increase of androgen-independent neuroendocrine-like (NE) tumor cells, whose number significantly correlates with tumor aggressiveness and a lower survival rate. The mechanisms leading to NETD and the exact role of NE-like tumor cells in disease progression are not fully understood yet. We used microarrays to analyze mRNA and microRNA expression during NE-transdifferentiation and we identified wide changes in both expression profiles including several genes and microRNAs with potential roles in NETD of prostate carcinoma.",4,Expression profiling by array; Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE106487,Single-Cell RNA Sequencing Analysis Reveals Sequential Cell Fate Transition during Human Spermatogenesis,"Spermatogenesis generates mature male gametes and is critical for the proper transmission of genetic information between generations. However, the developmental landscape and underlying molecular signals during human spermatogenesis remain unknown. Here, we examined human spermatogenesis using transcriptome-wide single-cell RNA sequencing of 2,854 individual testicular cells from donors with normal spermatogenesis (donors with normal fertility or OA) and 174 testicular cells from one donor diagnosed as having nonobstructive azoospermia (NOA). Systematic bioinformatics analyses enabled us to delineate the full developmental trajectories of human spermatogenesis. A hierarchical model was established, which was characterized by the sequential and step-wise development of three spermatogonia subtypes, seven spermatocyte subtypes, and four spermatid subtypes. Furthermore, we recapitulated key hallmarks of human spermatogenesis at the single-cell level, including spermatogonial development, mitosis-to-meiosis transition, meiotic recombination, meiotic sex chromosome inactivation, and histone-to-protamine exchange. Remarkably, BMPR1B and FGFR3 were identified as novel markers of human spermatogonial stem cells, indicating the potentially critical role of BMP and FGF signaling pathways for SSC maintenance. Further analysis identified several novel marker genes of specific cell type such as HMGA1, PIWIL4, TEX29, SCML1, and CCDC112, the expression patterns of which were confirmed via RNA FISH or immunostaining. We also demonstrated that scRNA-seq provided a platform to find differentially expressed genes correlated with one type of nonobstructive azoospermia (NOA) at the genome-wide transcriptional profiling level, which might pave way for further diagnosis and dissecting the underlying mechanisms of male infertility. Our work allows for the reconstruction of transcriptional programs inherent to sequential cell fate transition during human spermatogenesis and has implications for deciphering male-related reproductive disorders.",71,Expression profiling by high throughput sequencing,Homo sapiens,,FGFR3
GSE106527,AltitudeOmics microRNA expression data,"Acclimatization to high altitude over 21 days, and upon re-ascent 7 and 21 days post-descent. See Subudhi et al. (2014) PLoS One 9(3):e92191, PMCID PMC3962396, PMID 24658407 for experiment details.",98,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
