sonde,symbol
cg25071634,TTTY20
cg25443613,RPS4Y1
cg25518695,NLGN4Y
cg25704368,TTTY20
cg25756647,CYorf15A
cg25815185,KDM5D
cg26058907,RPS4Y2
cg26198148,TMSB4Y
cg26517491,KDM5D
cg26928789,TTTY10
cg26983430,RBMY1J
cg26983430,RBMY1F
cg26983535,EIF1AY
cg27049643,KDM5D
cg27214488,NLGN4Y
cg27265812,NLGN4Y
cg27355713,TBL1Y
cg27433982,ZFY
cg27443332,NLGN4Y
cg27578568,TTTY19
cg27611726,TBL1Y
cg27636129,SRY
cg00006815,IL1RAPL2
cg00008932,RPS4X
cg00008945,HMGN5
cg00011200,EBP
cg00014152,WDR13
cg00016522,MTM1
cg00016934,BCOR
cg00018204,MIR452
cg00018261,ZCCHC12
cg00021786,FTHL17
cg00026186,PORCN
cg00029931,RPL36A
cg00030125,DCAF12L2
cg00031235,PPP1R3F
cg00032666,MAMLD1
cg00040419,TCEANC
cg00040455,NR0B1
cg00040923,ARMCX1
cg00046099,GNL3L
cg00060882,EIF2S3
cg00072288,NAA10
cg00072799,GPR174
cg00072839,PCDH11X
cg00074638,ARSE
cg00098732,HS6ST2
cg00108056,SNORA70
cg00112256,DOCK11
cg00113623,DNASE1L1
cg00113623,TAZ
cg00114625,PDK3
cg00114913,LONRF3
cg00115511,LOC401588
cg00115511,ZNF674
cg00116265,ZNF673
cg00116709,MAGIX
cg00117066,GRPR
cg00117663,MAGEB16
cg00120172,ATRX
cg00121904,MAOB
cg00124708,ARMCX3
cg00126657,SSX6
cg00126698,BTK
cg00128197,HSD17B10
cg00139317,PCYT1B
cg00139547,LAMP2
cg00140085,SLC6A8
cg00140189,CLCN4
cg00141845,UPRT
cg00142683,UBE2A
cg00145348,APEX2
cg00150363,MID2
cg00150874,BCOR
cg00151234,PGK1
cg00157034,CSAG1
cg00157034,MAGEA12
cg00168417,KIAA1210
cg00179446,UPF3B
cg00180631,MTM1
cg00190642,H2BFWT
cg00191052,CHST7
cg00191758,MAGEH1
cg00200463,STARD8
cg00202711,HTR2C
cg00205905,PRRG1
cg00206414,BCOR
cg00213805,AIFM1
cg00213853,MPP1
cg00213957,PDZD11
cg00213957,KIF4A
cg00216997,GPKOW
cg00221961,CA5B
cg00224026,CXorf48
cg00230685,SCML1
cg00235887,TBL1X
cg00238052,TCEAL2
cg00238131,CITED1
cg00240113,ZIC3
cg00241051,FRMD7
cg00241296,IL1RAPL2
cg00241907,TMSL3
cg00241907,TMSB4X
cg00245012,SPIN2B
cg00253811,PIGA
cg00256358,GPR119
cg00258480,PIM2
cg00260448,MAP3K7IP3
cg00261039,BCOR
cg00263759,TMEM187
cg00264378,CLCN5
cg00265812,UXT
cg00266918,SCML1
cg00267352,MAMLD1
cg00272286,ARL13A
cg00276426,MORC4
cg00279529,TKTL1
cg00279529,TEX28
cg00279797,AMMECR1
cg00290944,PAGE2B
cg00291929,TEX11
cg00292305,CD40LG
cg00295573,MAGEA8
cg00321056,IQSEC2
cg00323457,RAI2
cg00328965,ELF4
cg00331433,SYAP1
cg00349460,PLXNB3
cg00355945,HCCS
cg00357087,MCTS1
cg00359973,RIBC1
cg00359973,SMC1A
cg00360365,GNL3L
cg00363318,ZDHHC15
cg00366674,CLCN5
cg00368230,FAM58A
cg00369477,HTR2C
cg00370296,CXorf48
cg00373606,EFNB1
cg00374346,RGAG4
cg00375105,RPL10
cg00378717,EIF1AX
cg00380985,TCEAL6
cg00381376,IQSEC2
cg00382651,MORF4L2
cg00387940,MTM1
cg00389276,FAM9C
cg00389552,BCOR
cg00399450,RLIM
cg00400999,BEX5
cg00401265,LPAR4
cg00402910,AMMECR1
cg00403724,TNMD
cg00404599,TSC22D3
cg00408231,ARMCX1
cg00412010,PAK3
cg00412368,FGF13
cg00412554,KLHL13
cg00416689,NGFRAP1
cg00419509,SPANXN2
cg00420717,DLG3
cg00422452,XPNPEP2
cg00423014,IL13RA2
cg00426668,CAPN6
cg00428012,ATP7A
cg00431602,SAT1
cg00434413,NAA10
cg00452819,ARSD
cg00457389,SCML2
cg00458505,NHS
cg00466309,CXorf40A
cg00466309,LOC100131434
cg00467547,SH2D1A
cg00473051,BCOR
cg00473354,FTSJ1
cg00478198,LOC158572
cg00478198,USP27X
cg00479885,FAM127B
cg00481999,ZNF81
cg00484940,DACH2
cg00488364,IL13RA2
cg00497084,PPEF1
cg00510327,RLIM
cg00517765,PPEF1
cg00523465,FAM127C
cg00524424,CACNA1F
cg00525383,ZIC3
cg00529027,GABRQ
cg00536175,GATA1
cg00538420,IRS4
cg00547789,RAB39B
cg00550141,PCYT1B
cg00553200,RENBP
cg00554969,TBX22
cg00571700,PNCK
cg00573298,MED14
cg00577623,ZXDA
cg00582864,MIR502
cg00583618,MAGIX
cg00583858,MIR934
cg00584971,PCDH19
cg00595697,ATXN3L
cg00596686,STS
cg00597858,MAGED1
cg00598664,PNCK
cg00600110,FAM9A
cg00603890,CXorf56
cg00604086,YIPF6
cg00607036,RNF113A
cg00607036,NDUFA1
cg00608151,PABPC5
cg00609239,ARMCX5
cg00611101,TCEAL2
cg00615738,BCOR
cg00615794,MORF4L2
cg00618396,VBP1
cg00619443,CHRDL1
cg00621925,ABCD1
cg00621925,BCAP31
cg00622384,RPL39
cg00622389,ARMCX2
cg00623388,BCORL1
cg00625743,TFDP3
cg00625841,FAM127C
cg00627024,CXorf58
cg00627024,APOO
cg00632130,ZNF630
cg00632374,CHST7
cg00634642,UTP14A
cg00636562,LOC100133957
cg00645049,ATP6AP1
cg00646140,ARSD
cg00646659,PIM2
cg00648125,NUDT10
cg00650640,EGFL6
cg00651446,TCEAL2
cg00661180,DMD
cg00666173,CHST7
cg00667781,HUWE1
cg00668426,BEX1
cg00668694,PNPLA4
cg00673020,MOSPD1
cg00675244,PAGE2B
cg00679603,PCYT1B
cg00680081,FAM46D
cg00680673,OTUD5
cg00685229,SEPT6
cg00685925,TBC1D25
cg00690049,MAGED2
cg00695046,TAF7L
cg00695324,TEX13B
cg00715011,HMGN5
cg00715011,SH3BGRL
cg00719224,MGC16121
cg00719224,MIR503
cg00719224,MIR424
cg00723973,RP2
cg00724728,STARD8
cg00725777,NGFRAP1
cg00727483,ARHGEF9
cg00729461,CCDC160
cg00730224,MAGEC3
cg00735876,MAP7D3
cg00739582,MIR890
cg00739582,MIR888
cg00739787,MST4
cg00741717,TLR8
cg00743068,ATRX
cg00743412,FLJ30058
cg00745293,TCEAL3
cg00751785,KDM6A
cg00752874,IRS4
cg00762681,CCDC160
cg00763315,MIR421
cg00763315,MIR374B
cg00763725,TMLHE
cg00763907,RBMXL3
cg00765885,TMSB15A
cg00767637,PABPC1L2B
cg00768439,NAP1L3
cg00768439,FAM133A
cg00769799,HPRT1
cg00772962,GAGE12H
cg00772962,GAGE12D
cg00772962,GAGE12B
cg00772962,GAGE12G
cg00772962,GAGE12C
cg00772962,GAGE12E
cg00775115,ZNF41
cg00776430,TSPYL2
cg00779763,SYN1
cg00781047,NHS
cg00785877,CAPN6
cg00790086,RP2
cg00799224,PHKA2
cg00800095,PNMA3
cg00803922,KIF4A
cg00805116,LOC401588
cg00805116,ZNF674
cg00805156,MXRA5
cg00809111,FLJ30058
cg00810519,SLC35A2
cg00810883,POU3F4
cg00812293,CLCN5
cg00812634,FMR1NB
cg00813156,IKBKG
cg00813156,G6PD
cg00813765,CT45A1
cg00813999,CYSLTR1
cg00815013,COL4A6
cg00815013,COL4A5
cg00815770,CXorf58
cg00816548,COX7B
cg00817885,SERPINA7
cg00818649,CASK
cg00820131,STARD8
cg00822998,IQSEC2
cg00823357,EFNB1
cg00824273,VENTXP1
cg00825441,APLN
cg00829575,MID1IP1
cg00832136,CXorf22
cg00832270,PGK1
cg00834229,USP51
cg00839572,EFNB1
cg00849191,PNCK
cg00850648,FGF13
cg00854963,NLGN3
cg00855706,PGK1
cg00855923,SMPX
cg00861899,BMX
cg00862041,GPRASP2
cg00869298,NDUFA1
cg00874863,LHFPL1
cg00877150,BCOR
cg00878023,CNKSR2
cg00883449,ZNF630
cg00895705,WNK3
cg00901211,SLC25A5
cg00901375,FAM70A
cg00901393,MIR660
cg00902308,ATP6AP2
cg00904184,FAM123B
cg00907920,RHOXF1
cg00911398,ARSF
cg00917018,LDOC1
cg00917362,F8A1
cg00917362,F8
cg00920537,PHF6
cg00920960,XIAP
cg00926894,RGN
cg00931201,CA5B
cg00932276,EGFL6
cg00935394,HCCS
cg00935924,UBE2A
cg00936342,TRMT2B
cg00936435,FAM104B
cg00937263,KIAA2022
cg00939965,PRRG1
cg00940232,SNORD61
cg00940232,RBMX
cg00941549,AKAP4
cg00947275,LAS1L
cg00958651,AFF2
cg00960898,GPR101
cg00962635,SYTL4
cg00962799,SSX8
cg00963467,HMGB3
cg00965330,ZNF182
cg00966524,MIR934
cg00968475,BHLHB9
cg00968771,ARMCX5
cg00975326,CXorf23
cg00979376,KCND1
cg00981643,MECP2
cg00988678,RNF113A
cg00988678,NDUFA1
cg00993140,DACH2
cg00994038,ZDHHC9
cg00996177,RPGR
cg00997875,MSN
cg01000789,PDZD11
cg01000789,KIF4A
cg01003197,OPHN1
cg01005760,RAB41
cg01008919,NLGN3
cg01009686,ATP7A
cg01010298,MIR651
cg01010618,IGSF1
cg01024350,HDX
cg01051089,CXorf23
cg01052065,PAK3
cg01056373,NSDHL
cg01056373,CETN2
cg01057599,UPRT
cg01058588,IKBKG
cg01058588,G6PD
cg01058932,PFKFB1
cg01062269,TIMM8A
cg01064194,NXF5
cg01070223,FAM47B
cg01072750,LUZP4
cg01076406,MIR421
cg01076406,MIR374B
cg01078565,MAGEB2
cg01079126,MTMR1
cg01080552,ARSF
cg01080862,IL13RA1
cg01081720,EFNB1
cg01083397,MECP2
cg01084827,USP51
cg01086868,AR
cg01087775,ATRX
cg01098871,WDR45
cg01099541,FAM127A
cg01104131,RBMXL3
cg01104810,HUWE1
cg01108554,SLC25A14
cg01109012,DYNLT3
cg01110418,FLJ44635
cg01110765,BCOR
cg01112452,ZCCHC12
cg01112930,DMD
cg01114138,ZFX
cg01114504,PAGE2
cg01115560,MAGEE1
cg01118900,ARMCX4
cg01119520,DLG3
cg01119763,PRRG1
cg01120894,RAB33A
cg01121830,RPGR
cg01125381,LOC158572
cg01125381,USP27X
cg01127291,FAM123B
cg01127586,LOC92249
cg01131699,ARHGEF6
cg01133413,PAGE5
cg01134144,ARHGEF6
cg01134497,DCAF8L1
cg01135626,CDX4
cg01138740,FGF13
cg01142317,ZMAT1
cg01150083,GPKOW
cg01162841,SH3KBP1
cg01166930,LOC401588
cg01166930,ZNF674
cg01169440,LOC100303728
cg01169463,PNPLA4
cg01172484,MAGEH1
cg01173474,CCDC160
cg01177664,PNPLA4
cg01178063,OTUD6A
cg01186310,RAB41
cg01187510,MCART6
cg01191578,PFKFB1
cg01191832,ZXDB
cg01191902,PRAF2
cg01195014,MAGED1
cg01203948,CDK16
cg01207481,WBP5
cg01207755,CLCN5
cg01212677,PDK3
cg01215061,TGIF2LX
cg01218690,AR
cg01228667,GPR101
cg01231576,PNCK
cg01241836,TFE3
cg01243226,ZRSR2
cg01245531,FGF13
cg01274846,ZFP92
cg01279057,SNORA11C
cg01280366,BCORL1
cg01282661,MAGIX
cg01283227,CDKL5
cg01284128,ZNF645
cg01286388,MAGT1
cg01288367,PJA1
cg01289637,LRCH2
cg01290688,USP27X
cg01290869,HSFX1
cg01290869,HSFX2
cg01293271,SOX3
cg01301326,BCOR
cg01302641,USP9X
cg01303569,PQBP1
cg01306265,ARMCX2
cg01307615,CAPN6
cg01309671,FAM122C
cg01310267,GPM6B
cg01314643,SPIN4
cg01317752,VCX
cg01318188,STAG2
cg01319581,CTPS2
cg01321830,BCOR
cg01325935,STARD8
cg01331780,MAGEB1
cg01333849,PGRMC1
cg01336631,FMR1NB
cg01337545,ARSD
cg01337817,DUSP9
cg01340520,BCOR
cg01342901,ANKRD58
cg01343084,FGD1
cg01345087,SYN1
cg01348758,HMGN5
cg01348758,SH3BGRL
cg01349336,HSD17B10
cg01349480,FGF13
cg01353347,IRAK1
cg01353788,AFF2
cg01353903,PCDH19
cg01354447,FTHL17
cg01355242,KLF8
cg01361446,IL2RG
cg01364818,ZNF280C
cg01370077,VMA21
cg01372992,ENOX2
cg01373750,MAGEB10
cg01374431,BEX4
cg01374885,MIR508
cg01375263,SPIN2A
cg01377936,DMD
cg01378112,YY2
cg01379263,STARD8
cg01381545,GPR64
cg01382771,GLRA4
cg01384686,HTATSF1
cg01386236,BEX5
cg01397290,PRRG1
cg01398148,CXorf27
cg01404374,H2BFM
cg01404988,RIBC1
cg01404988,SMC1A
cg01408260,TMSB15B
cg01408383,PIGA
cg01408682,FAM9C
cg01410230,RPL36A
cg01411845,DDX3X
cg01413492,SPACA5
cg01423027,AP1S2
cg01434723,UBL4A
cg01436914,ZXDA
cg01448525,DLG3
cg01460974,ARHGEF9
cg01461762,GLA
cg01461762,HNRNPH2
cg01462040,AFF2
cg01472026,ZMAT1
cg01473525,RAB9B
cg01475387,LANCL3
cg01477427,HSD17B10
cg01480550,GABRE
cg01483252,CHST7
cg01488378,SLC35A2
cg01490258,BCOR
cg01498090,TLR7
cg01501252,USP9X
cg01514943,BCOR
cg01522249,BCOR
cg01522335,LOC347376
cg01528835,MIR421
cg01537968,SYTL4
cg01538344,TAF7L
cg01540916,ASB9
cg01542035,DMD
cg01543116,XKRX
cg01545419,MAGEB1
cg01555661,NDUFB11
cg01555661,RBM10
cg01556010,UPRT
cg01556519,OPN1MW
cg01556519,OPN1MW2
cg01559064,CUL4B
cg01560464,SLITRK4
cg01560885,FAM123B
cg01563671,KLHL34
cg01570817,FAM47A
cg01573544,FUNDC1
cg01575816,COL4A6
cg01575816,COL4A5
cg01576669,TTC3L
cg01577514,SLC6A8
cg01577745,NGFRAP1
cg01579322,FAM120C
cg01596349,SNORA70
cg01598357,DLG3
cg01600123,DLG3
cg01600263,TCEAL4
cg01634761,EFNB1
cg01640808,KLHL34
cg01645836,CXorf59
cg01647019,GLRA2
cg01651728,MIR890
cg01662650,YY2
cg01666573,FAM9A
cg01668271,ZNF81
cg01668907,RAB40AL
cg01669374,PRPS2
cg01671070,BEX5
cg01674874,MAGIX
cg01679167,NLGN4X
cg01683788,MSL3
cg01704778,FOXR2
cg01706033,TCEAL3
cg01710449,FAM47B
cg01716666,NKAP
cg01717812,ABCB7
cg01718602,DACH2
cg01730928,KIAA2022
cg01732428,CTPS2
cg01733439,PRICKLE3
cg01737010,TMSB15A
cg01737421,PORCN
cg01740135,PPP1R2P9
cg01742836,FHL1
cg01747155,TMLHE
cg01752898,RPGR
cg01755224,MID1
cg01755617,RPL10
cg01756638,VBP1
cg01757402,IL1RAPL2
cg01758418,SLC7A3
cg01758988,CXorf40A
cg01758988,LOC100131434
cg01759889,FAM155B
cg01760027,CLCN5
cg01761453,MAGEC3
cg01768144,SLC25A5
cg01773478,CHST7
cg01776229,POU3F4
cg01776396,FANCB
cg01777017,FGF13
cg01780361,UBQLN2
cg01786967,TAF7L
cg01794548,FTHL17
cg01796247,SLITRK2
cg01798375,CFP
cg01804836,BEX2
cg01807688,MGC16121
cg01807688,MIR503
cg01807728,HMGB3
cg01813294,NHS
cg01816615,AMOT
cg01818727,GPR64
cg01819787,SLC6A8
cg01821005,MAGEB1
cg01821906,H2BFWT
cg01823238,PNPLA4
cg01825872,OPHN1
cg01828434,TSC22D3
cg01828474,KLHL34
cg01829822,MIR421
cg01829822,MIR374B
cg01831199,RBM41
cg01831944,DIAPH2
cg01832419,KLHL15
cg01843978,MIR500
cg01843978,MIR362
cg01847754,CXorf1
cg01850541,STARD8
cg01851385,CLCN4
cg01855997,USP27X
cg01857704,TMEM31
cg01859586,KDM5C
cg01860821,ZXDB
cg01864032,DLG3
cg01869765,SPACA5
cg01869765,ZNF182
cg01872771,BEND2
cg01873087,TBC1D25
cg01874426,MIR421
cg01882566,RPGR
cg01884384,LONRF3
cg01885202,CDKL5
cg01886630,REPS2
cg01886810,CDK16
cg01887353,ZNF41
cg01887803,STS
cg01891172,KLHL34
cg01893797,ARSF
cg01896298,GDPD2
cg01905377,FOXP3
cg01906946,BCOR
cg01908742,NDP
cg01909378,ZNF645
cg01910452,ABCD1
cg01910452,BCAP31
cg01911846,TCEAL8
cg01913024,AIFM1
cg01913196,DCAF12L1
cg01915804,TAF9B
cg01924074,HUWE1
cg01927625,RAB41
cg01938887,HTATSF1
cg01947226,RBBP7
cg01948589,RPS6KA3
cg01951307,FAM122C
cg01954531,MID1IP1
cg01960534,PHF16
cg01961936,NXF3
cg01962233,ARX
cg01963147,MIR320D2
cg01963258,RBMXL3
cg01972979,MIR503
cg01975035,SCARNA23
cg01975591,TBL1X
cg01980778,IRS4
cg01986775,DCAF8L1
cg01991530,MBTPS2
cg01992935,KCNE1L
cg01996818,MST4
cg01996909,ITIH5L
cg01997410,RGAG4
cg01997953,CXorf21
cg01999076,RP2
cg01999212,EFNB1
cg02004156,TFE3
cg02007259,GATA1
cg02010442,ATG4A
cg02010442,PSMD10
cg02019635,ZMAT1
cg02020018,PRRG3
cg02023473,HMGB3
cg02025065,SPIN2B
cg02025206,FAM9B
cg02026371,NUDT10
cg02031392,PCYT1B
cg02031980,PIN4
cg02032561,ZNF75D
cg02032561,ZNF449
cg02033323,FOXP3
cg02035866,PHKA2
cg02041067,IKBKG
cg02041067,G6PD
cg02042142,NHS
cg02053896,SLC7A3
cg02058632,MAP3K7IP3
cg02059755,HEPH
cg02060618,BMP15
cg02061213,MID2
cg02061906,FAM47A
cg02062238,RPGR
cg02063752,UBA1
cg02064569,IL1RAPL2
cg02077027,SH3KBP1
cg02095003,ZNF275
cg02095995,MCF2
cg02096520,FGF16
cg02116333,HSD17B10
cg02117996,MID1IP1
cg02120013,DGKK
cg02121672,PCYT1B
cg02124059,ZNF41
cg02124085,GDPD2
cg02127807,LRCH2
cg02129889,RPL39
cg02132188,HMGN5
cg02144050,TBC1D25
cg02148711,ATRX
cg02150469,CXorf65
cg02151408,RS1
cg02151779,SLC38A5
cg02155838,SLC9A6
cg02156712,KAL1
cg02156782,PPP1R3F
cg02157475,CHIC1
cg02161125,CASK
cg02161824,FAM127B
cg02161919,PHKA2
cg02165720,NDUFB11
cg02165720,RBM10
cg02166322,LANCL3
cg02166601,GPR64
cg02167358,AP1S2
cg02167456,AFF2
cg02169289,BCOR
cg02171705,TBL1X
cg02179438,CCDC22
cg02179880,WDR13
cg02180347,FAM48B2
cg02180505,MAGEB1
cg02183297,KCNE1L
cg02184147,AIFM1
cg02187432,SCML2
cg02188515,ACRC
cg02193580,FHL1
cg02195366,MSL3
cg02195925,AFF2
cg02198544,TREX2
cg02200373,SASH3
cg02201836,UTP14A
cg02205962,ABCD1
cg02205962,BCAP31
cg02210067,MSL3
cg02211783,CXorf61
cg02212061,NUDT11
cg02212907,FAM104B
cg02214597,ZMYM3
cg02223323,MAP7D2
cg02225164,GAB3
cg02232536,NAA10
cg02232922,SLC25A43
cg02239640,GSPT2
cg02261899,DCAF12L1
cg02263675,ZNF711
cg02263717,TBL1X
cg02264182,IDS
cg02265919,CSTF2
cg02266197,CCDC160
cg02273788,PLXNB3
cg02274705,C1GALT1C1
cg02275875,TCEAL5
cg02275924,MID1
cg02279464,GABRA3
cg02283106,CA5B
cg02283535,IL1RAPL2
cg02285254,FHL1
cg02286623,RAI2
cg02288017,CXorf15
cg02291897,ELK1
cg02293258,SPIN2B
cg02295504,ARMCX3
cg02301364,PRPS1
cg02311013,GLOD5
cg02318959,RBMX2
cg02326006,ARHGEF9
cg02327549,NRK
cg02332456,FAM47C
cg02333283,LAGE3
cg02337670,OTUD5
cg02341380,ANKRD58
cg02345317,NLGN3
cg02352295,SLITRK2
cg02353937,RIBC1
cg02354343,RAP2C
cg02360119,SPANXN4
cg02360578,CXorf57
cg02376524,GPRASP2
cg02379437,NAP1L2
cg02386310,PORCN
cg02395364,UPRT
cg02396917,CXorf23
cg02402307,PIR
cg02417823,SMS
cg02419467,ZNF630
cg02425869,FAM46D
cg02433927,BCOR
cg02447370,HS6ST2
cg02454309,MCART6
cg02456261,WDR44
cg02457752,CDR1
cg02469604,TKTL1
cg02471578,NLGN3
cg02480419,OTUD5
cg02490931,PAGE2B
cg02492740,UBQLN2
cg02495057,GJB1
cg02496423,SMS
cg02497062,IGBP1
cg02501924,TSPAN6
cg02504280,MAGEA12
cg02504617,MAGEC1
cg02505036,MIR450A2
cg02505036,MIR450B
cg02505036,MIR450A1
cg02510708,STAG2
cg02512611,SHROOM4
cg02522370,TMSL3
cg02522370,TMSB4X
cg02523105,NCRNA00087
cg02533866,XK
cg02534780,FLJ30058
cg02537091,TAF7L
cg02538330,NDUFB11
cg02538330,RBM10
cg02539591,PDK3
cg02540297,GAGE12H
cg02540297,GAGE12D
cg02540297,GAGE12B
cg02540297,GAGE12G
cg02540297,GAGE12C
cg02540297,GAGE12E
cg02540826,PHKA2
cg02546818,RPS4X
cg02547323,RAB9B
cg02549418,MBNL3
cg02559685,MID1IP1
cg02573613,OTUD5
cg02575859,RPS4X
cg02576548,PAGE3
cg02580986,MUM1L1
cg02581653,USP11
cg02581727,ZNF75D
cg02581727,ZNF449
cg02583883,AMOT
cg02587153,UBQLN2
cg02588867,FGF13
cg02589074,IDS
cg02590287,CLDN2
cg02590710,KLF8
cg02597128,CXorf41
cg02597128,NUP62CL
cg02599583,FAM127C
cg02602182,BCOR
cg02602528,PLP2
cg02604836,MPP1
cg02611122,TMEM187
cg02616434,BEND2
cg02620228,RAB9A
cg02621658,STARD8
cg02623256,PDK3
cg02623604,CD99L2
cg02624484,KLHL15
cg02626719,ARMCX2
cg02629615,DMD
cg02629737,FGF13
cg02634083,HMGB3
cg02634141,MIR506
cg02634141,MIR507
cg02639619,FAM47C
cg02644889,XIST
cg02647401,MSL3
cg02649608,ZBTB33
cg02665388,FAM46D
cg02671603,KIAA2022
cg02678356,ZXDA
cg02685544,BCOR
cg02690554,CITED1
cg02693068,BCOR
cg02710173,FLNA
cg02714462,MAGEB1
cg02714492,EDA
cg02723311,RAB9A
cg02725692,PORCN
cg02726808,OTC
cg02733596,LAMP2
cg02733659,ESX1
cg02734755,HUWE1
cg02742139,IKBKG
cg02742139,G6PD
cg02742990,PCYT1B
cg02746718,H2BFM
cg02752267,DLG3
cg02754763,FUNDC1
cg02755446,GAGE10
cg02770249,LAMP2
cg02772823,SLC6A14
cg02773050,DDX26B
cg02773151,MID2
cg02773688,SPANXN5
cg02775175,EFNB1
cg02775256,ZC3H12B
cg02779592,SRPX2
cg02803670,ZNF75D
cg02803670,ZNF449
cg02804166,PHF6
cg02804708,WDR45
cg02804757,FGF13
cg02809570,IL1RAPL1
cg02810043,TBL1X
cg02811156,VSIG4
cg02811588,FHL1
cg02812399,KLHL34
cg02817683,FAM122B
cg02817683,FAM122C
