gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse
GSE218101,Isogenic pairs of MPS VI gene corrected iPSC and Chondrogenic cells,"To investigate the effect of MPS VI on gene expression in chondrogenic cells, we gene corrected four patient derived hiPSC using a ARSB knock-in into the AAVS1 locus. We differentiated cells into chondrogenic cells using a 14 day protocol, we proformed gene expression profiling analysis using data obtained from RNA-seq at iPS stage in monoplo and differentiated cells in triplo.",34,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_NAIV|ANLAGE_KORRIGIERT
GSE224181,"Genomic, transcriptomic, functional, and mechanistic characterization of rhabdomyosarcoma with FUS-TFCP2 or EWSR1-TFCP2 fusions (ACT-Seq)","Many rare cancers are not well understood, and pathogenesis-directed therapies are often lacking, resulting in poor patient outcomes. Leveraging two (inter)national precision oncology trials that enroll large numbers of rare cancers, we investigated the clinical, histopathologic, molecular, and functional characteristics of rhabdomyosarcoma (RMS) with fusions of FUS or EWSR1 to the TFCP2 transcription factor, a recently discovered ultra-rare entity whose classification, pathogenesis, and optimal treatment are unclear. Unusually for fusion-driven sarcomas, most cases had highly rearranged genomes, including chromothripsis, and signs of defective homologous recombination DNA repair. All tumors showed extreme expression of a truncated TERT variant and the ALK receptor tyrosine kinase, which was additionally affected by intragenic deletions and aberrant splicing, resulting in the expression of shortened variants in 58% of cases. Three ALK variants were oncogenic in immortalized cells, and patient-derived tumor cells expressing two variants responded to certain ALK inhibitors. Other recurrent alterations included CDKN2A/MTAP co-deletions and mutations in PAPPA2, encoding an IGFBP5-specific proteinase, in 67% and 25% of cases, respectively. DNA methylation analysis, along with 19 other soft-tissue sarcoma classes, revealed a close relationship with undifferentiated sarcoma but not other RMS subtypes, suggesting that TFCP2-rearranged RMS is a separate entity, possibly arising from a distinct cell of origin. Expression of TFCP2 fusions in immortalized human cells blocked late myogenic differentiation and significantly induced genes that were also highly expressed in patient tumors, including ALK, TERT, and two known regulators of skeletal muscle cells, IGFBP5 and PTH1R. Genome-wide chromatin profiling demonstrated direct binding of FUS-TFCP2 to the ALK and TERT loci outside their regular promoters, which correlated with the expression of alternative transcript variants. Finally, FUS-TFCP2 inhibited the repair of DNA double-strand breaks in immortalized cells, rendering them sensitive to treatment with cisplatin. This study provides insight into the pathogenesis and therapeutic vulnerabilities of a new RMS subtype and illustrates the value of linking comprehensive molecular diagnostics and functional annotation within multicenter consortia to improve the understanding and clinical management of rare cancers.",44,Other,Homo sapiens,,ANLAGE_NAIV
GSE224182,"Genomic, transcriptomic, functional, and mechanistic characterization of rhabdomyosarcoma with FUS-TFCP2 or EWSR1-TFCP2 fusions (RNA-Seq)","Many rare cancers are not well understood, and pathogenesis-directed therapies are often lacking, resulting in poor patient outcomes. Leveraging two (inter)national precision oncology trials that enroll large numbers of rare cancers, we investigated the clinical, histopathologic, molecular, and functional characteristics of rhabdomyosarcoma (RMS) with fusions of FUS or EWSR1 to the TFCP2 transcription factor, a recently discovered ultra-rare entity whose classification, pathogenesis, and optimal treatment are unclear. Unusually for fusion-driven sarcomas, most cases had highly rearranged genomes, including chromothripsis, and signs of defective homologous recombination DNA repair. All tumors showed extreme expression of a truncated TERT variant and the ALK receptor tyrosine kinase, which was additionally affected by intragenic deletions and aberrant splicing, resulting in the expression of shortened variants in 58% of cases. Three ALK variants were oncogenic in immortalized cells, and patient-derived tumor cells expressing two variants responded to certain ALK inhibitors. Other recurrent alterations included CDKN2A/MTAP co-deletions and mutations in PAPPA2, encoding an IGFBP5-specific proteinase, in 67% and 25% of cases, respectively. DNA methylation analysis, along with 19 other soft-tissue sarcoma classes, revealed a close relationship with undifferentiated sarcoma but not other RMS subtypes, suggesting that TFCP2-rearranged RMS is a separate entity, possibly arising from a distinct cell of origin. Expression of TFCP2 fusions in immortalized human cells blocked late myogenic differentiation and significantly induced genes that were also highly expressed in patient tumors, including ALK, TERT, and two known regulators of skeletal muscle cells, IGFBP5 and PTH1R. Genome-wide chromatin profiling demonstrated direct binding of FUS-TFCP2 to the ALK and TERT loci outside their regular promoters, which correlated with the expression of alternative transcript variants. Finally, FUS-TFCP2 inhibited the repair of DNA double-strand breaks in immortalized cells, rendering them sensitive to treatment with cisplatin. This study provides insight into the pathogenesis and therapeutic vulnerabilities of a new RMS subtype and illustrates the value of linking comprehensive molecular diagnostics and functional annotation within multicenter consortia to improve the understanding and clinical management of rare cancers.",57,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_NAIV
GSE225148,"Disease modeling and gene correction of LGMDR21- iPSCs elucidates the role of POGLUT1 in skeletal muscle maintenance, regeneration and satellite cell niche","LGMDR21 is a recessive limb girdle muscular dystrophy caused by mutations in the protein O-glucosyltransferase 1 gene (POGLUT1). This enzyme is responsible for O-glucosylation of specific epidermal growth factor-like (EGF) repeats found in ~50 mammalian proteins, including the Notch receptors. Previous data from patient biopsies indicated impaired Notch signaling, reduction of muscle stem cells and accelerated differentiation of myoblasts as possible pathologic mechanism. Using patient iPSCs and their corrected isotypes, we showed that patient iPSC-derived myogenic progenitors demonstrate dysregulation of gene clusters related to POGLUT1, NOTCH, muscle development, ECM, cell adhesion and migration (MET signaling). They also exhibited reduced in vitro enzymatic activity and NOTCH signaling, defective myogenesis, proliferation, migration and differentiation. In vivo studies demonstrated significant reductions in engraftment, muscle stem cell formation, PAX7 expression and maintenance, along with increased percentage of PAX7 positive cells in the interstitial space between myofibers. Remarkably, gene corrected cells were able to rescue in vitro and in vivo phenotypes. These results describe novel mechanistic insights for LGMDR21 pathology and the efficacy of site-specific gene correction in disease modeling and rescue of the phenotypes and paving the way toward gene therapies for LGMDs.",24,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_KORRIGIERT
GSE245585,Time series analysis of retinoblastoma  patient derived mesenchymal stem cells differentiated to osteogenic lineage,"The RB1 gene plays a pivotal role in the process of osteogenic differentiation.To gain insights into this role, we conducted high-throughput RNA sequencing during the invitro osteogenesis of patient-derived heterozygous RB mutant and wildtype. Our analysis involved stage-specific differential gene expression analysis and a comprehensive time series analysis of both wild-type and RB mutant cells during the osteogenic differentiation process. The findings from our study indicate that the deficiency in RB1 results in significant disruptions in cellular functions, primarily mediated by E2F1. Our results suggest compelling role for RB1 in osteogenic differentiation with its loss leading to an immature phenotype, potentially compromising the osteogenic differentiation process which might subsequently contribute to tumorigenesis.",16,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_NAIV
GSE26272,Expression data from control and ZNF145-overexpressing human mesenchymal stem cells (MSCs),"ZNF145 is shown to be upregulated during three linage differentiation of MSCs especially in chondrogenesis. To understand the molecular basis of ZNF145 underlying MSCs,  targets of ZNF145 in MSCs are determined by microarray We used microarrays to detail the change in gene expression profile upon overexpression of ZNF145 compared with control in undifferentiated MSCs",8,Expression profiling by array,Homo sapiens,,ANLAGE_NAIV
GSE302312,Synchronised regeneration of osteochondral defects via spatially patterned implants of stable and hypertrophic cartilage organoids,"Repairing deep osteochondral defects remains clinically challenging due to the intrinsic inability of articular cartilage to self-repair and the need for integrated yet distinct regeneration of articular cartilage and subchondral bone. Here, we present a scaffold-free, modular strategy that spatially bioassembles iPSC-derived chondrocytes (iChon) organoids with human periosteum-derived cell (hPDC) organoids to engineer zonated osteochondral assembloids. The resulting iChon+hPDC assembloids exhibit intrinsic spatial organization, forming chondral- and osteo-like zones with an intermediate interface without exogenous scaffolds. In vitro characterization confirmed layered glycosaminoglycan-rich cartilage and collagen I-rich bone-like domains, with an intermediate interface emerging through self-directed matrix organization. Upon implantation into full-thickness osteochondral defects, iChon+hPDC assembloids promoted robust hyaline cartilage restoration, subchondral bone reconstruction, and partial restoration of collagen fiber anisotropy. Transcriptomic profiling revealed complementary biological programs, with iChon exhibited extracellular matrix remodeling and early developmental plasticity and hPDC in endochondral ossification pathways. This work provides a robust, scaffold-free platform for osteochondral regeneration that can be adapted toward patient-specific repair through integration of iPSC-derived cell sources and precise spatial assembly of zonated organoids.",12,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_NAIV
GSE307443,Loss of cell-autonomously secreted laminin-α2 drives muscle stem cell dysfunction in LAMA2-related muscular dystrophy,"The extracellular matrix protein laminin-α2 is essential for preserving the integrity of skeletal muscle fibers during contraction. Its importance is reflected by the severe, congenital LAMA2-related muscular dystrophy (LAMA2 MD) caused by loss-of-function mutations in the LAMA2 gene. While laminin-α2 has an established role in structurally supporting muscle fibers, it remains unclear whether it exerts additional functions that contribute to the maintenance of skeletal muscle integrity. Submitted transcriptomic data represents  gene expression profile of control and LAMA2-deficient human myogenic precursor cells derived from induced pluripotent stem cells which was analyzed to better understand the role of laminin-α2 in human cells.",8,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_ISOGEN
GSE36098,Gene expression profile of human iPS cell-derived mesoangioblasts (HIDEMs),"Mesoangioblasts are stem/progenitor cells derived from a subset of pericytes expressing alkaline phosphatase. They have been shown to ameliorate muscular dystrophies (currently incurable diseases) in different animal models and are now undergoing clinical experimentation for Duchenne muscular dystrophy. We show here that patients affected by limb-girdle muscular dystrophy 2D (LGMD2D, characterized by α-sarcoglycan deficit) have a reduction of this subset of pericytes and hence mesoangioblast could not be derived  for cell therapy. Therefore, we reprogrammed LGMD2D fibroblasts and myoblasts to induced pluripotent stem cells (iPSCs) and developed a protocol for the derivation of mesoangioblast-like cells from them. These cells can be expanded and genetically corrected with a muscle-specific lentiviral vector expressing human α-sarcoglycan. Upon transplantation into ad hoc generated α-sarcoglycan-null immunodeficient mice, they generate myofibers expressing α-sarcoglycan. This approach may be useful for muscular dystrophies that show a reduction of resident progenitors and provides evidence of pre-clinical safety and efficacy of disease-specific iPSCs.",9,Expression profiling by array,Homo sapiens,,ANLAGE_KORRIGIERT
GSE37521,RNA-Seq Analysis Reveals Different Dynamics of Differentiation of Human Dermis- and Adipose-derived Stromal Stem Cells,"Background: Tissue regeneration and recovery in the adult body depends on self-renewal and differentiation   of stem and progenitor cells. Mesenchymal stem cells (MSCs) that have the ability to   differentiate into various cell types, have been isolated from the stromal fraction of virtually all   tissues. However, little is known about the true identity of MSCs. MSC populations exhibit great   tissue-, location- and patient-specific variation in gene expression and are heterogeneous in cell   composition.   Methodology/Principal findings: Our aim was to analyze the dynamics of differentiation of two closely related stromal cell types,   adipose tissue-derived MSCs and dermal fibroblasts (FBs) along adipogenic, osteogenic and   chondrogenic lineages using multiplex RNA-seq technology. We found that undifferentiated   donor-matched MSCs and FBs are distinct populations that stay different upon differentiation   into adipocytes, osteoblasts and chondrocytes. The changes in lineage-specific gene expression   occur early in differentiation and persist over time in both MSCs and FBs. Further, MSCs and   FBs exhibit similar dynamics of adipogenic and osteogenic differentiation but different dynamics   of chondrogenic differentiation.  Conclusion: Our findings suggest that stromal stem cells including adipose-derived MSCs and dermal FBs   exploit different molecular mechanisms of differentiation to reach a common cell fate. The early   mechanisms of differentiation are lineage-specific and are similar for adipogenic and osteogenic   differentiation but are distinct for chondrogenic differentiation between MSCs and FBs.",96,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_NAIV
GSE58123,Modeling Familial Cancer with iPSC Approaches,"In vitro modeling of human disease has recently become feasible with the adoption of induced pluripotent stem cell (iPSC) technology. Here, we established patient-derived iPSCs from an Li-Fraumeni Syndrome (LFS) family and investigated the role of mutant p53 in the development of osteosarcoma (OS). Several members of this family carried a heterozygous p53(G245D) mutation and presented with a broad spectrum of tumors including OS. Osteoblasts (OBs) differentiated from iPSC-derived mesenchymal stem cells (MSCs) recapitulated OS features including defective osteoblastic differentiation (OB differentiation) as well as tumorigenic ability. Systematic analyses revealed that the expression of genes enriched in LFS-derived OBs strongly correlated with decreased time to tumor recurrence and poor patient survival. In silico cytogenetic region enrichment analysis (CREA) demonstrated that LFS-derived OBs do not have genomic rearrangements and hence are a particularly valuable tool for elucidating early oncogenic events prior to the accumulation of secondary alterations. LFS OBs exhibited impaired upregulation of the imprinted gene H19 during osteogenesis. Restoration of H19 expression in LFS OBs facilitated osteogenic differentiation and repressed tumorigenic potential. By integrating human imprinted gene network (IGN) and functional genomic analyses, we found that H19-mediates suppression of LFS-associated OS through the IGN component DECORIN (DCN). Downregulation of DCN impairs H19-mediated osteogenic differentiation and tumor suppression. In summary, these findings demonstrate the feasibility of studying inherited human cancer syndromes with iPSCs and also provide molecular insights into the role of the IGN in p53 mutation-mediated tumorigenesis.",14,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_NAIV
GSE70955,Human iPSC-based model for Duchenne muscular dystrophy,"We developed a novel somite-based step-wise strategy for the efficient derivation of functional human myocytes, suggesting that past failures were due to incomplete specification. Treatment with two small molecules inhibiting glycogen synthase kinase 3β (GSK-3β) and the Notch signaling pathway in undifferentiated hPSCs results in the formation of somite-like cells by Day 4 and, subsequently contractile myotubes in vitro around Day 25 with the ability to engraft and actively participate in muscle repair in vivo. Antibody-based purification can enrich homogenous myocyte populations exhibiting genuine myogenic molecular and cellular characteristics, including extraocular muscle-like features. Furthermore, hPSCs derived from patients with multiple neuromuscular diseases successfully give rise to patient-specific skeletal muscle cells bearing signature phenotypes.",15,Expression profiling by array,Homo sapiens,,ANLAGE_NAIV
